,Abia,Aba North,Aba South,Arochukwu,Bende,Ikwuano,Isiala Ngwa North,Isiala Ngwa South,Isuikwato,Obi Ngwa,Ohafia,Osisioma Ngwa,Ugwunagbo,Ukwa East,Ukwa West,Umuahia North,Umuahia South,Umu-Nneochi,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,Adamawa,Demsa,Fufore,Ganye,Girei,Gombi,Guyuk,Hong,Jada,Lamurde,Madagali,Maiha,Mayo-Belwa,Michika,Mubi North,Mubi South,Numan,Shelleng,Song,Toungo,Yola North,Yola South,,,,,,,,,,,,,,,,,,,,,,,
1,Akwa Ibom,Abak,Eastern Obolo,Eket,Esit-Eket,Essien-Udim,Etim-Ekpo,Etinan,Ibeno,Ibesikpo-Asutan,Ibiono-Ibom,Ika,Ikono,Ikot Abassi,Ikot Ekpene,Ini,Itu,Mbo,Mkpat-Enin,Nsit-Atai,Nsit-Ibom,Nsit-Ubium,Obot-Akara,Okobo,Onna,Oron,Oruk Anam,Ukanafun,Udung-Uko,Uruan,Urue-Offiong/Oruko,Uyo,,,,,,,,,,,,,
2,Anambra,Aguata,Akwa North,Awka South,Anambra East,Anambra West,Anaocha,Ayamelum,Dunukofia,Ekwusigo,Idemili North,Idemili South,Ihiala,Njiokoka,Nnewi North,Nnewi South,Ogbaru,Onitsha North,Onitsha South,Orumba North,Orumba South,Oyi,,,,,,,,,,,,,,,,,,,,,,,
3,Bauchi,Bauchi,Tafawa Balewa,Dass,Toro,Bogoro,Ningi,Warji,Ganjuwa,Kirfi,Alkaleri,Darazo,Misau,Giade,Shira,Jama'are,Katagum,Itas/Gadau,Zaki,Gamawa,Damban,,,,,,,,,,,,,,,,,,,,,,,,
4,Bayelsa,Brass,Ekeremor,Kolokuma/Opokuma,Nembe,Ogbia,Sagbama,Southern Ijaw,Yenagoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Benue,Ado,Agatu,Apa,Buruku,Gboko,Guma,Gwer East,Gwer West,Katsina-Ala,Konshisha,Kwande,Logo,Makurdi,Obi,Ogbadibo,Ohimini,Oju,Okpokwu,Otukpo,Tarka,Ukum,Ushongo,Vandeikya,,,,,,,,,,,,,,,,,,,,,
6,Borno,Abadan,Askira/Uba,Bama,Bayo,Biu,Chibok,Damboa,Dikwagubio,Guzamala,Gwoza,Hawul,Jare,Kaga,Kalka/Balge,Konduga,Kukawa,Kwaya-ku,Mafa,Magumeri,Maiduguri,Marte,Mobbar,Monguno,Ngala,Nganzai,Shani,,,,,,,,,,,,,,,,,,
7,Cross River,Abi,Akamkpa,Akpabuyo,Bakassi,Bekwarra,Biase,Boki,Calabar Municipal,Calabar South,Etung,Ikom,Obanliku,Obubra,Obudu,Odukpani,Ogoja,Yakuur,Yala,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Delta,Aniocha South,Anioha,Bomadi,Burutu,Ethiope West,Ethiope East,Ika South,Ika North,Isoko South,Isoko North,Ndokwa East,Ndokwa West,Okpe,Oshimili North,Oshimili South,Patani,Sapele,Udu,Ughelli South,Ughelli North,Ukwuani,Uviwie,Warri Central,Warri North,Warri South,,,,,,,,,,,,,,,,,,,
9,Ebonyi,Abakaliki,Afikpo North,Afikpo South,Ebonyi,Ezza North,Ezza South,Ikwo,Ishielu,Ivo,Izzi,Ohaozora,Ohaukwu,Onicha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
